podcast_id,category,category_id
f2970432aad718a000ebac10e48ae6b0,arts,0
f2970432aad718a000ebac10e48ae6b0,arts-performing-arts,3
f2970432aad718a000ebac10e48ae6b0,society-culture,49
beea9ae6cbe2011ad21923572ee4598f,arts,0
beea9ae6cbe2011ad21923572ee4598f,arts-performing-arts,3
beea9ae6cbe2011ad21923572ee4598f,comedy,11
d34629baca14d87860276b12a6cb7a3b,arts,0
d34629baca14d87860276b12a6cb7a3b,arts-fashion-beauty,2
d34629baca14d87860276b12a6cb7a3b,society-culture,49
d739564fca425b41c8c785d82ec64c18,society-culture,49
d739564fca425b41c8c785d82ec64c18,tv-film,67
db5b30cfb0043319e80b43b30071bb7a,sports,56
db5b30cfb0043319e80b43b30071bb7a,tv-film,67
f42b4160ff9b8933d74c411ee40596ea,health-fitness,21
f42b4160ff9b8933d74c411ee40596ea,health-fitness-alternative-health,22
f42b4160ff9b8933d74c411ee40596ea,health-fitness-nutrition,26
c900d5c01f9f5506283e230a2ede0c4e,arts,0
c900d5c01f9f5506283e230a2ede0c4e,arts-books,1
dda9360560ecf7b41c8646aa5a1c62b0,tv-film,67
dda9360560ecf7b41c8646aa5a1c62b0,tv-film-after-shows,68
fa3cac03e05c1e9ec792e95e4850d7ce,business,4
fa3cac03e05c1e9ec792e95e4850d7ce,news,39
a3a535f66c7e8004e7dc54c2b2829a9e,business,4
a3a535f66c7e8004e7dc54c2b2829a9e,business-management,8
a3a535f66c7e8004e7dc54c2b2829a9e,history,28
f335df99185d1401ada492230b42514a,business,4
f335df99185d1401ada492230b42514a,business-entrepreneurship,6
f335df99185d1401ada492230b42514a,education,15
c5f250bd8c7263eb67bf89846d47d24b,business,4
c5f250bd8c7263eb67bf89846d47d24b,business-investing,7
c5f250bd8c7263eb67bf89846d47d24b,education,15
ab238917116872cfcbc205e0c97f891a,business,4
ab238917116872cfcbc205e0c97f891a,business-careers,5
a6cc4101cb004140936103e2ffbf8451,business,4
a6cc4101cb004140936103e2ffbf8451,business-careers,5
a6cc4101cb004140936103e2ffbf8451,business-investing,7
c2adb71e6b51e1397b49e216e07f3cef,business,4
c2adb71e6b51e1397b49e216e07f3cef,business-careers,5
c2adb71e6b51e1397b49e216e07f3cef,business-marketing,9
b16332f51b9746dc5a97c7ce37644fc6,business,4
b16332f51b9746dc5a97c7ce37644fc6,business-investing,7
bead83f2330788f9e629cce951e1df99,business,4
bead83f2330788f9e629cce951e1df99,business-investing,7
bead83f2330788f9e629cce951e1df99,education,15
da7a69f3cef57ae817daeda11e69eda4,business,4
a829b9d7da618a084c5702566b49f086,business,4
a829b9d7da618a084c5702566b49f086,business-careers,5
a829b9d7da618a084c5702566b49f086,business-investing,7
ce13112f4ae0fd664ebfb4f549b841fa,business,4
ce13112f4ae0fd664ebfb4f549b841fa,business-investing,7
bc88c4c3783bb40a256b1965dfd926ca,arts,0
bc88c4c3783bb40a256b1965dfd926ca,arts-fashion-beauty,2
bc88c4c3783bb40a256b1965dfd926ca,business,4
bc88c4c3783bb40a256b1965dfd926ca,business-entrepreneurship,6
c1adb6ca5ca39575420fda03c099b037,business,4
c1adb6ca5ca39575420fda03c099b037,business-careers,5
c1adb6ca5ca39575420fda03c099b037,education,15
c1adb6ca5ca39575420fda03c099b037,education-self-improvement,18
b70d658c901897359bb848cf876cbcbc,business,4
b70d658c901897359bb848cf876cbcbc,business-management,8
abbdecf5e1cde3bb520c8e413a74d4ec,business,4
abbdecf5e1cde3bb520c8e413a74d4ec,business-careers,5
abbdecf5e1cde3bb520c8e413a74d4ec,business-entrepreneurship,6
abbdecf5e1cde3bb520c8e413a74d4ec,education,15
d90450578efbe61b0b87d27c7c649273,business,4
d90450578efbe61b0b87d27c7c649273,business-marketing,9
ea002527eadb0959ff1cdd22aad70d63,business,4
ea002527eadb0959ff1cdd22aad70d63,business-investing,7
b4c3c3ebdd76e284f7d9fa358ac82030,business,4
b4c3c3ebdd76e284f7d9fa358ac82030,business-entrepreneurship,6
b4c3c3ebdd76e284f7d9fa358ac82030,society-culture,49
da8fc675052df9f7d581cd06f5bb6940,comedy,11
da8fc675052df9f7d581cd06f5bb6940,news,39
da8fc675052df9f7d581cd06f5bb6940,news-entertainment-news,41
da8fc675052df9f7d581cd06f5bb6940,society-culture,49
da8fc675052df9f7d581cd06f5bb6940,society-culture-personal-journals,51
db93a05fe337aea2061b59c96e647100,comedy,11
bc5ddad3898e0973eb541577d1df8004,comedy,11
bc5ddad3898e0973eb541577d1df8004,true-crime,66
df6cb13f95aec96d9282c6fa3cf506ac,arts,0
df6cb13f95aec96d9282c6fa3cf506ac,arts-performing-arts,3
df6cb13f95aec96d9282c6fa3cf506ac,comedy,11
bd784d3cbca52ca91dc75784eca17039,comedy,11
bd784d3cbca52ca91dc75784eca17039,society-culture,49
bd784d3cbca52ca91dc75784eca17039,true-crime,66
b6e2e0dcd8ad43c68e2a7b2314dd2bbd,comedy,11
b6e2e0dcd8ad43c68e2a7b2314dd2bbd,comedy-comedy-interviews,12
b6e2e0dcd8ad43c68e2a7b2314dd2bbd,health-fitness,21
b6e2e0dcd8ad43c68e2a7b2314dd2bbd,health-fitness-alternative-health,22
b6e2e0dcd8ad43c68e2a7b2314dd2bbd,society-culture,49
f6ea6b0ac7093ad8b8a4b4e25ccaa9ba,comedy,11
f6ea6b0ac7093ad8b8a4b4e25ccaa9ba,tv-film,67
f4b308e75ed429602e806eb76b5a5546,comedy,11
e5ee0c95d99109b7d6d6de20b099d784,comedy,11
e5ee0c95d99109b7d6d6de20b099d784,leisure,32
f71673b0ff234ff54d2a56d81638b544,comedy,11
b797f4b76e5f45b0b09deb8e7b253222,comedy,11
e72fef562b39dd0db4be8ab63dc49486,comedy,11
e72fef562b39dd0db4be8ab63dc49486,technology,65
d98a808439f1a6626d404c895d977ed8,comedy,11
b092a905ad5732310f18c9f505fd9b37,comedy,11
b092a905ad5732310f18c9f505fd9b37,comedy-comedy-interviews,12
b092a905ad5732310f18c9f505fd9b37,society-culture,49
b092a905ad5732310f18c9f505fd9b37,society-culture-philosophy,52
c264b30523911699d50aa1022f5d536b,comedy,11
c264b30523911699d50aa1022f5d536b,comedy-stand-up,14
cfce9add2777e9ae8e5050de7388c92c,comedy,11
cfce9add2777e9ae8e5050de7388c92c,comedy-comedy-interviews,12
ed1d26a2f16587ec292421e188f8ee83,comedy,11
ed1d26a2f16587ec292421e188f8ee83,health-fitness,21
ed1d26a2f16587ec292421e188f8ee83,health-fitness-sexuality,27
d56f2cb3c5e10e4d7793046db261ed8a,comedy,11
d56f2cb3c5e10e4d7793046db261ed8a,tv-film,67
cfdc22c82e0b7b16f4c8777cd2281fcf,arts,0
cfdc22c82e0b7b16f4c8777cd2281fcf,comedy,11
cfdc22c82e0b7b16f4c8777cd2281fcf,society-culture,49
f93abf75f151870009e766af181dd98a,comedy,11
d58d098f5227ba67fefb62673aa1d854,comedy,11
d58d098f5227ba67fefb62673aa1d854,health-fitness,21
d58d098f5227ba67fefb62673aa1d854,society-culture,49
d58d098f5227ba67fefb62673aa1d854,society-culture-philosophy,52
c29449aaa596fde6a0144b29363bc979,comedy,11
c29449aaa596fde6a0144b29363bc979,society-culture,49
b36117b22ff78f5c98a1cb66eb13490d,comedy,11
b36117b22ff78f5c98a1cb66eb13490d,society-culture,49
b36117b22ff78f5c98a1cb66eb13490d,society-culture-personal-journals,51
b36117b22ff78f5c98a1cb66eb13490d,true-crime,66
e434f25919f4ce7bfcf364207aeb4f2b,comedy,11
e434f25919f4ce7bfcf364207aeb4f2b,comedy-comedy-interviews,12
e434f25919f4ce7bfcf364207aeb4f2b,society-culture,49
ec5c7f6c13cba9cf448fc800029ce773,comedy,11
ec5c7f6c13cba9cf448fc800029ce773,comedy-comedy-interviews,12
d8f61fe7d9a3ba1bd96ceb4c3bf49ce6,comedy,11
fe2f0190ec3d970fec5a5196fed572c9,comedy,11
fe2f0190ec3d970fec5a5196fed572c9,health-fitness,21
fe2f0190ec3d970fec5a5196fed572c9,health-fitness-sexuality,27
cbefa3a5b2d9daa4bac28023b2c4ac4a,comedy,11
cbefa3a5b2d9daa4bac28023b2c4ac4a,society-culture,49
d9dd27d67513af6b0721fc63b492e67d,comedy,11
afd327a6d5dc6c30e8db4c883f705c46,comedy,11
afd327a6d5dc6c30e8db4c883f705c46,true-crime,66
b1c2c7abd8fdeea2605def73f767ecd4,comedy,11
e5bdac6ee043d429cbbaff3534e4772c,comedy,11
e5bdac6ee043d429cbbaff3534e4772c,music,36
fb71702547a7539742dc43829e4bca7a,comedy,11
dd4e025b10818e7546db8d7eb51e75e7,comedy,11
afae447a96efcef63a8efd497bebade6,arts,0
afae447a96efcef63a8efd497bebade6,comedy,11
d921639c7fad6605caa1353cad306f18,arts,0
d921639c7fad6605caa1353cad306f18,arts-performing-arts,3
d921639c7fad6605caa1353cad306f18,comedy,11
d921639c7fad6605caa1353cad306f18,comedy-improv,13
c2f3608087c2d9109b0f76a42ce880cb,music,36
c2f3608087c2d9109b0f76a42ce880cb,music-music-commentary,37
c2f3608087c2d9109b0f76a42ce880cb,music-music-interviews,38
c2f3608087c2d9109b0f76a42ce880cb,society-culture,49
c2f3608087c2d9109b0f76a42ce880cb,society-culture-philosophy,52
e21731c2d8eaf454d30bfba61b0f83e3,comedy,11
e21731c2d8eaf454d30bfba61b0f83e3,society-culture,49
e7c3b374df4babe5f5a423241b6ea3ad,education,15
e7c3b374df4babe5f5a423241b6ea3ad,education-courses,16
e7c3b374df4babe5f5a423241b6ea3ad,education-language-learning,17
dc873a23e6b7861ba05f4a531c3bc921,business,4
dc873a23e6b7861ba05f4a531c3bc921,education,15
dc873a23e6b7861ba05f4a531c3bc921,education-self-improvement,18
ba2060d59bbe0658c48f9ee52268cc22,education,15
ba2060d59bbe0658c48f9ee52268cc22,education-language-learning,17
ba2060d59bbe0658c48f9ee52268cc22,society-culture,49
a137be8f8b4d863a2ff4490355d002ff,education,15
a137be8f8b4d863a2ff4490355d002ff,kids-family,29
a137be8f8b4d863a2ff4490355d002ff,kids-family-education-for-kids,30
a137be8f8b4d863a2ff4490355d002ff,kids-family-stories-for-kids,31
d88f37a0834cc4d70dd4d118cad58650,education,15
d88f37a0834cc4d70dd4d118cad58650,society-culture,49
bb145b67da194cbc91342cce8fbb7282,education,15
bb145b67da194cbc91342cce8fbb7282,sports,56
bb145b67da194cbc91342cce8fbb7282,sports-wilderness,63
e054ccd66e08e18eb58fb0a9a6f341d9,society-culture,49
e054ccd66e08e18eb58fb0a9a6f341d9,society-culture-documentary,50
ff7b422aa935b6a36a9ecb7148864be7,leisure,32
ff7b422aa935b6a36a9ecb7148864be7,leisure-games,33
b9882bf2a7b5d0d2dfcab43a7be6d1c7,leisure,32
b9882bf2a7b5d0d2dfcab43a7be6d1c7,leisure-video-games,35
b9882bf2a7b5d0d2dfcab43a7be6d1c7,technology,65
b7bf8724fe030bd03aae3d204c10deb4,leisure,32
b7bf8724fe030bd03aae3d204c10deb4,leisure-hobbies,34
b7bf8724fe030bd03aae3d204c10deb4,leisure-video-games,35
db95d044230365b900c50e45c12209ae,leisure,32
db95d044230365b900c50e45c12209ae,leisure-video-games,35
dc4f2b92fc02836e1e9ce24560f2c308,leisure-video-games,35
e64fd81315a8c405e0237b3adde42a5c,arts,0
e64fd81315a8c405e0237b3adde42a5c,leisure,32
e64fd81315a8c405e0237b3adde42a5c,leisure-hobbies,34
a48683a50aa4100130f8432c27488c17,leisure,32
a48683a50aa4100130f8432c27488c17,leisure-games,33
a48683a50aa4100130f8432c27488c17,leisure-hobbies,34
d8a064bd29549ddd282ffe484fcdcc85,sports,56
d8a064bd29549ddd282ffe484fcdcc85,sports-fantasy-sports,59
a61cde11d99095d5f55c509e4729dbd1,sports,56
a61cde11d99095d5f55c509e4729dbd1,sports-fantasy-sports,59
a61cde11d99095d5f55c509e4729dbd1,sports-football,60
cb469cced4ad1e5496e89c9916b433dd,leisure,32
cb469cced4ad1e5496e89c9916b433dd,leisure-games,33
cb469cced4ad1e5496e89c9916b433dd,leisure-hobbies,34
a21fa119edfd50d4019f86ff9f1a70bc,government,20
a21fa119edfd50d4019f86ff9f1a70bc,news,39
ff0f334b97d879f9c51bb81bf0b65f7a,society-culture,49
cdfe385f2494f58cedfccd42f49a7db9,government,20
cdfe385f2494f58cedfccd42f49a7db9,news,39
cdfe385f2494f58cedfccd42f49a7db9,news-politics,43
b69677f9f694bd3566eaf9fff0343784,health-fitness,21
b69677f9f694bd3566eaf9fff0343784,health-fitness-mental-health,25
a627d4945f6fcfc2c9050233cbb5369a,education,15
a627d4945f6fcfc2c9050233cbb5369a,education-self-improvement,18
a627d4945f6fcfc2c9050233cbb5369a,health-fitness,21
bffe9d51afd8a6c6a89c7cbb06da788f,health-fitness,21
bffe9d51afd8a6c6a89c7cbb06da788f,health-fitness-alternative-health,22
f9938eec02c773585575a091fe35c425,education,15
f9938eec02c773585575a091fe35c425,education-self-improvement,18
f9938eec02c773585575a091fe35c425,health-fitness,21
f9938eec02c773585575a091fe35c425,health-fitness-fitness,23
c9add5e9e81a4b3ca963adab5b87083f,health-fitness,21
c9add5e9e81a4b3ca963adab5b87083f,health-fitness-nutrition,26
bf5474a2c5638aa23ba52d95a2666b8d,health-fitness-alternative-health,22
a37fb116709bfdb2dd58ea4f784cb815,health-fitness,21
a37fb116709bfdb2dd58ea4f784cb815,health-fitness-fitness,23
e112d2738b4d1b51f826072a13333591,society-culture,49
c053d3206a36efd6e47d0f8d54678c22,health-fitness-nutrition,26
caba7b32181b486496ff69dc9a49d2f3,health-fitness,21
f2f6a2352b3b15c23543e1f5e24747de,business,4
f2f6a2352b3b15c23543e1f5e24747de,health-fitness,21
d2da82feac2f430eb12a29a5ca22d0c5,health-fitness,21
c54d17cdabe329c9af0e6a2e288fba41,fiction,19
c54d17cdabe329c9af0e6a2e288fba41,health-fitness,21
c54d17cdabe329c9af0e6a2e288fba41,health-fitness-alternative-health,22
db45e4be97084c8d133d88cee1c97897,health-fitness,21
db45e4be97084c8d133d88cee1c97897,health-fitness-medicine,24
db45e4be97084c8d133d88cee1c97897,health-fitness-nutrition,26
e657eef8b576e7a8f023e2b38699637f,education,15
e657eef8b576e7a8f023e2b38699637f,health-fitness,21
e657eef8b576e7a8f023e2b38699637f,health-fitness-mental-health,25
e657eef8b576e7a8f023e2b38699637f,religion-spirituality,45
e657eef8b576e7a8f023e2b38699637f,spirituality,55
ff6e70d3ed948c205e5d879169ee34ef,health-fitness-alternative-health,22
d2042758dcacc179d98a76d7673065ac,health-fitness,21
d2042758dcacc179d98a76d7673065ac,health-fitness-fitness,23
d2042758dcacc179d98a76d7673065ac,society-culture,49
d2042758dcacc179d98a76d7673065ac,society-culture-personal-journals,51
d2042758dcacc179d98a76d7673065ac,sports,56
d2042758dcacc179d98a76d7673065ac,sports-running,62
bd1eeaa544589b34fe3056a7a60d9360,health-fitness,21
bd1eeaa544589b34fe3056a7a60d9360,health-fitness-nutrition,26
c4b4a343d1131676bf592d266629d6dc,health-fitness,21
c4b4a343d1131676bf592d266629d6dc,health-fitness-alternative-health,22
c4b4a343d1131676bf592d266629d6dc,health-fitness-nutrition,26
c4b4a343d1131676bf592d266629d6dc,society-culture,49
c4b4a343d1131676bf592d266629d6dc,society-culture-relationships,54
e28892fd142248a15b9d46b30ebd9d38,education,15
e28892fd142248a15b9d46b30ebd9d38,education-self-improvement,18
e28892fd142248a15b9d46b30ebd9d38,religion-spirituality,45
d6ef1df72820e4fc2591f8c3a295b1b7,education,15
